mutation_sensitivity,human_machine_clone_label_category
0.004279017,"M=0,H=0"
0.738380641,"M=0,H=0"
0.892367072,"M=0,H=0"
0.001040518,"M=0,H=0"
-0.400473356,"M=0,H=0"
0.602924436,"M=0,H=0"
-0.000421703,"M=0,H=0"
0.510539085,"M=0,H=1"
0.953599177,"M=0,H=1"
0.970278656,"M=0,H=1"
0.078140318,"M=0,H=1"
0.001153052,"M=0,H=1"
0.992385543,"M=0,H=1"
0.004825473,"M=1,H=1"
0.000176787,"M=1,H=1"
0.002409875,"M=1,H=1"
-0.005022824,"M=1,H=1"
0.001565993,"M=1,H=1"
-0.013247132,"M=1,H=1"
-0.001012862,"M=1,H=1"
-0.00333041,"M=1,H=1"
-0.004285514,"M=1,H=1"
-0.020258248,"M=1,H=1"
-0.001933396,"M=1,H=1"
-0.001259804,"M=1,H=1"
0.002743065,"M=1,H=1"
0.255534947,"M=1,H=1"
-0.008854568,"M=1,H=1"
0.000278413,"M=1,H=1"
0.0048666,"M=1,H=1"
-0.000228465,"M=1,H=1"
0.003391087,"M=1,H=1"
0.01098907,"M=1,H=1"
-0.004855633,"M=1,H=1"
0.006740391,"M=1,H=1"
-0.004128158,"M=1,H=1"
0.003078878,"M=1,H=1"
0.015413761,"M=1,H=1"
0.00101161,"M=1,H=1"
0.0044083,"M=1,H=1"
0.005487561,"M=1,H=1"
-0.003076673,"M=1,H=1"
0.015290499,"M=1,H=1"
0.00350219,"M=1,H=1"
0.005948842,"M=1,H=1"
0.00083226,"M=1,H=1"
0.006006479,"M=1,H=1"
0.389637902,"M=1,H=1"
0.002966166,"M=1,H=1"
-3.29018E-05,"M=1,H=1"
-0.001594782,"M=1,H=1"
0.004472077,"M=1,H=1"
0.101843238,"M=1,H=1"
0.01481849,"M=1,H=1"
-0.000527799,"M=1,H=1"
0.00304848,"M=1,H=1"
0.004144073,"M=1,H=1"
0.008660197,"M=1,H=1"
0.057324052,"M=1,H=1"
-0.005327225,"M=1,H=1"
-0.140576005,"M=1,H=1"
0.002652884,"M=1,H=1"
-0.006316304,"M=1,H=1"
-0.001538336,"M=1,H=1"
0.010524392,"M=1,H=1"
-0.002492845,"M=1,H=1"
0.031972766,"M=1,H=1"
-8.60691E-05,"M=1,H=1"
-0.001351833,"M=1,H=1"
0.022540212,"M=1,H=1"
-0.000198662,"M=1,H=0"
-0.001465499,"M=1,H=0"
-0.006856263,"M=1,H=0"
-0.006983101,"M=1,H=0"
-0.004870176,"M=1,H=0"
-0.009545207,"M=1,H=0"
0.004210532,"M=1,H=0"
0.040275753,"M=1,H=0"
0.01515317,"M=1,H=0"
-0.004972577,"M=1,H=0"
0.004905224,"M=1,H=0"
-0.002054095,"M=1,H=0"
0.002143383,"M=1,H=0"
-0.001029313,"M=1,H=0"
-0.004757047,"M=1,H=0"
0.014671981,"M=1,H=0"
-0.002716064,"M=1,H=0"
0.05499357,"M=1,H=0"
-0.038051784,"M=1,H=0"
-0.009744585,"M=1,H=0"
-0.148521304,"M=1,H=0"
0.003854513,"M=1,H=0"
0.004789889,"M=1,H=0"
0.003000379,"M=1,H=0"
0,"M=1,H=0"
-0.002347469,"M=1,H=0"
-0.00349474,"M=1,H=0"
0.013112545,"M=1,H=0"
0.002778709,"M=1,H=0"
-0.053665638,"M=1,H=0"
